state_code|code|name|active
AGU|01|Aguascalientes|true
BCN|01|Ensenada|true
BCS|01|Ciudad Constitución|true
CAM|01|San Francisco de Campeche|true
COA|01|Ciudad Acuña|true
COL|01|Colima|true
CHH|01|Santa Rosalía de Camargo|true
CHP|01|Comitán de Domínguez|true
DIF|01|Ciudad de México|true
DUR|01|Victoria de Durango|true
GRO|01|Acapulco de Juárez|true
GUA|01|Acámbaro|true
HID|01|Actopan|true
JAL|01|Ameca|true
MEX|01|Ciudad Adolfo López Mateos|true
MIC|01|Apatzingán de la Constitución|true
MOR|01|Cuautla (Cuautla de Morelos)|true
NAY|01|Santiago Ixcuintla|true
NLE|01|Ciudad Apodaca|true
OAX|01|Juchitán (Juchitán de Zaragoza)|true
PUE|01|Atlixco|true
QUE|01|Querétaro|true
ROO|01|Cancún|true
SIN|01|Los Mochis|true
SLP|01|Ciudad Valles|true
SON|01|San Luis Río Colorado|true
TAB|01|Cárdenas|true
TAM|01|Altamira|true
TLA|01|Apizaco|true
VER|01|Acayucan|true
YUC|01|Mérida|true
ZAC|01|Fresnillo|true
AGU|02|Calvillo|true
BCN|02|Mexicali|true
BCS|02|La Paz|true
CAM|02|Ciudad del Carmen|true
COA|02|Frontera|true
COL|02|Manzanillo|true
CHH|02|Chihuahua|true
CHP|02|San Cristóbal de las Casas|true
DIF|02|Ciudad de México|true
DUR|02|Gómez Palacio|true
GRO|02|Chilpancingo de los Bravo|true
GUA|02|San miguel de Allende|true
HID|02|Apan|true
JAL|02|Ciudad Guzmán|true
MEX|02|Chimalhuacán|true
MIC|02|Los Reyes de Salgado|true
MOR|02|Cuernavaca|true
NAY|02|Tepic|true
NLE|02|San Pedro Garza García|true
OAX|02|Oaxaca de Juárez|true
PUE|02|Izúcar de Matamoros|true
QUE|02|San Juan del Rio|true
ROO|02|Cozumel|true
SIN|02|Culiacán Rosales|true
SLP|02|Ébano|true
SON|02|Agua Prieta|true
TAB|02|Villahermosa|true
TAM|02|Ciudad Camargo|true
TLA|02|Villa Vicente Guerrero|true
VER|02|Naranjos|true
YUC|02|Tizimín|true
ZAC|02|Jerez de García Salinas|true
AGU|03|San Francisco de los Romo|true
BCN|03|Tecate|true
BCS|03|Cabo San Lucas|true
CAM|03|Calkini|true
COA|03|Matamoros|true
COL|03|Tecoman|true
CHH|03|Cuauhtémoc|true
CHP|03|Tapachula de Córdova y Ordóñez|true
DIF|03|Ciudad de México|true
DUR|03|Ciudad Lerdo|true
GRO|03|Iguala de la Independencia|true
GUA|03|Celaya|true
HID|03|Pachuca de Soto|true
JAL|03|Guadalajara|true
MEX|03|Coacalco de Berriozabal|true
MIC|03|Ciudad Hidalgo|true
MOR|03|Galeana|true
NAY|03|Tuxpan|true
NLE|03|Ciudad General Escobedo|true
OAX|03|Salina Cruz|true
PUE|03|Puebla (Heroica Puebla)|true
ROO|03|Felipe Carrillo Puerto|true
SIN|03|Escuinapa de Hidalgo|true
SLP|03|Matehuala|true
SON|03|Heroica Caborca|true
TAB|03|Comalcalco|true
TAM|03|Ciudad Madero|true
TLA|03|Tlaxcala (Tlaxcala de Xicotencatl)|true
VER|03|Boca del RÍo|true
YUC|03|Ticul|true
ZAC|03|Zacatecas|true
AGU|04|Jesús María|true
BCN|04|Tijuana|true
BCS|04|San José del Cabo|true
CAM|04|Candelaria|true
COA|04|Monclova|true
COL|04|Ciudad de Villa de Álvarez|true
CHH|04|Delicias|true
CHP|04|Tuxtla Gutiérrez|true
DIF|04|Ciudad de México|true
DUR|04|Santiago Papasquiaro|true
GRO|04|Taxco de Alarcón|true
GUA|04|Cortazar|true
HID|04|Cd. de Fray Bernardino de Sahagún|true
JAL|04|Lagos de Moreno|true
MEX|04|Cuautitlán Izcalli|true
MIC|04|Jacona de Plancarte|true
MOR|04|Jojutla|true
NAY|04|Acaponeta|true
NLE|04|Guadalupe|true
OAX|04|San Juan Bautista Tuxtepec|true
PUE|04|San Martín Texmelucan de Labastida|true
QUE|04|El Pueblito|true
ROO|04|Chetumal|true
SIN|04|Guasave|true
SLP|04|Rioverde|true
SON|04|Ciudad Obregón|true
TAB|04|Emiliano Zapata|true
TAM|04|Ciudad Mante|true
TLA|04|Huamantla|true
VER|04|Coatepec|true
YUC|04|Motul de Carrillo Puerto|true
ZAC|04|Guadalupe|true
AGU|05|Pabellón de Arteaga|true
BCN|05|Playas de Rosarito|true
BCS|05|Loreto|true
CAM|05|Escárcega|true
COA|05|Parras de la Fuente|true
COL|05|Ciudad de Armería|true
CHH|05|Hidalgo del Parral|true
CHP|05|Venustiano Carranza|true
DIF|05|Ciudad de México|true
DUR|05|Canatlán|true
GRO|05|Arcelia|true
GUA|05|Guanajuato|true
HID|05|Tula de Allende|true
JAL|05|Ocotlán|true
MEX|05|Ecatepec de Morelos|true
MIC|05|La piedad de Cabadas|true
MOR|05|Puente de Ixtla|true
NAY|05|Tecuala|true
NLE|05|Linares|true
OAX|05|Matías Romero Avendaño|true
PUE|05|Tehuacan|true
ROO|05|Playa del Carmen|true
SIN|05|Mazatlán|true
SLP|05|San Luis Potosí|true
SON|05|Empalme|true
TAB|05|Jalpa de Méndez|true
TAM|05|Heroica Matamoros|true
TLA|05|Calpulalpan|true
VER|05|Agua dulce|true
YUC|05|Valladolid|true
ZAC|05|Río Grande|true
AGU|06|Rincón de Romos|true
BCN|06|Rodolfo Sánchez T. (Maneadero)|true
BCS|06|Puerto Adolfo López Mateos|true
CAM|06|Sabancuy|true
COA|06|Piedras Negras|true
CHH|06|Juárez|true
CHP|06|Jiquipilas|true
DIF|06|Ciudad de México|true
DUR|06|San Juan del Río del Centauro del Norte|true
GRO|06|Ayutla de los Libres|true
