state_code|code|name|active
AGU|001|Aguascalientes|true
BCN|001|Ensenada|true
BCS|001|Comondú|true
CAM|001|Calkiní|true
COA|001|Abasolo|true
COL|001|Armería|true
CHH|001|Ahumada|true
CHP|001|Acacoyagua|true
DUR|001|Canatlán|true
GRO|001|Acapulco de Juárez|true
GUA|001|Abasolo|true
HID|001|Acatlán|true
JAL|001|Acatic|true
MEX|001|Acambay de Ruíz Castañeda|true
MIC|001|Acuitzio|true
MOR|001|Amacuzac|true
NAY|001|Acaponeta|true
NLE|001|Abasolo|true
OAX|001|Abejones|true
PUE|001|Acajete|true
QUE|001|Amealco de Bonfil|true
ROO|001|Cozumel|true
SIN|001|Ahome|true
SLP|001|Ahualulco|true
SON|001|Aconchi|true
TAB|001|Balancán|true
TAM|001|Abasolo|true
TLA|001|Amaxac de Guerrero|true
VER|001|Acajete|true
YUC|001|Abalá|true
ZAC|001|Apozol|true
AGU|002|Asientos|true
BCN|002|Mexicali|true
BCS|002|Mulegé|true
CAM|002|Campeche|true
COA|002|Acuña|true
COL|002|Colima|true
CHH|002|Aldama|true
CHP|002|Acala|true
DIF|002|Azcapotzalco|true
DUR|002|Canelas|true
GRO|002|Ahuacuotzingo|true
GUA|002|Acámbaro|true
HID|002|Acaxochitlán|true
JAL|002|Acatlán de Juárez|true
MEX|002|Acolman|true
MIC|002|Aguililla|true
MOR|002|Atlatlahucan|true
NAY|002|Ahuacatlán|true
NLE|002|Agualeguas|true
OAX|002|Acatlán de Pérez Figueroa|true
PUE|002|Acateno|true
QUE|002|Pinal de Amoles|true
ROO|002|Felipe Carrillo Puerto|true
SIN|002|Angostura|true
SLP|002|Alaquines|true
SON|002|Agua Prieta|true
TAB|002|Cárdenas|true
TAM|002|Aldama|true
TLA|002|Apetatitlán de Antonio Carvajal|true
VER|002|Acatlán|true
YUC|002|Acanceh|true
ZAC|002|Apulco|true
AGU|003|Calvillo|true
BCN|003|Tecate|true
BCS|003|La Paz|true
CAM|003|Carmen|true
COA|003|Allende|true
COL|003|Comala|true
CHH|003|Allende|true
CHP|003|Acapetahua|true
DIF|003|Coyoacán|true
DUR|003|Coneto de Comonfort|true
GRO|003|Ajuchitlán del Progreso|true
GUA|003|San Miguel de Allende|true
HID|003|Actopan|true
JAL|003|Ahualulco de Mercado|true
MEX|003|Aculco|true
MIC|003|Álvaro Obregón|true
MOR|003|Axochiapan|true
NAY|003|Amatlán de Cañas|true
NLE|003|Los Aldamas|true
OAX|003|Asunción Cacalotepec|true
PUE|003|Acatlán|true
QUE|003|Arroyo Seco|true
ROO|003|Isla Mujeres|true
SIN|003|Badiraguato|true
SLP|003|Aquismón|true
SON|003|Alamos|true
TAB|003|Centla|true
TAM|003|Altamira|true
TLA|003|Atlangatepec|true
VER|003|Acayucan|true
YUC|003|Akil|true
ZAC|003|Atolinga|true
AGU|004|Cosío|true
BCN|004|Tijuana|true
CAM|004|Champotón|true
COA|004|Arteaga|true
COL|004|Coquimatlán|true
CHH|004|Aquiles Serdán|true
CHP|004|Altamirano|true
DIF|004|Cuajimalpa de Morelos|true
DUR|004|Cuencamé|true
GRO|004|Alcozauca de Guerrero|true
GUA|004|Apaseo el Alto|true
HID|004|Agua Blanca de Iturbide|true
JAL|004|Amacueca|true
MEX|004|Almoloya de Alquisiras|true
MIC|004|Angamacutiro|true
MOR|004|Ayala|true
NAY|004|Compostela|true
NLE|004|Allende|true
OAX|004|Asunción Cuyotepeji|true
